SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-4.M2-3.M3-17	16	21	1	9	20	3	11	7	5.88235294118	30.0
M1-4.M2-3.M3-4	16	29	1	1	11	1	20	9	5.88235294118	3.33333333333
M1-4.M2-3.M3-16	16	24	1	6	20	0	11	10	5.88235294118	20.0
M1-4.M2-3.M3-10	17	20	0	10	20	1	11	9	0.0	33.3333333333
M1-4.M2-3.M3-1	17	29	0	1	14	4	17	6	0.0	3.33333333333
M1-4.M2-3.M3-5	16	30	1	0	15	1	16	9	5.88235294118	0.0
M1-4.M2-3.M3-14	16	23	1	7	20	2	11	8	5.88235294118	23.3333333333
M1-4.M2-3.M3-12	17	22	0	8	18	1	13	9	0.0	26.6666666667
M1-4.M2-3.M3-13	16	22	1	8	20	2	11	8	5.88235294118	26.6666666667
M1-4.M2-3.M3-6	15	29	2	1	15	1	16	9	11.7647058824	3.33333333333
M1-4.M2-3.M3-2	15	27	2	3	16	0	15	10	11.7647058824	10.0
M1-4.M2-3.M3-3	14	27	3	3	11	1	20	9	17.6470588235	10.0
M1-5.M2-8.M3-8	35	29	0	3	2	0	51	5	0.0	9.375
M1-5.M2-8.M3-9	35	30	0	2	1	1	52	4	0.0	6.25
M1-5.M2-8.M3-18	33	27	2	5	2	1	51	4	5.71428571429	15.625
M1-5.M2-8.M3-15	33	27	2	5	2	1	51	4	5.71428571429	15.625
M1-5.M2-8.M3-11	34	21	1	11	1	0	52	5	2.85714285714	34.375
M1-5.M2-8.M3-7	35	22	0	10	2	0	51	5	0.0	31.25
M1-5.M2-8.M3-17	34	24	1	8	2	0	51	5	2.85714285714	25.0
M1-5.M2-8.M3-4	27	29	8	3	0	0	53	5	22.8571428571	9.375
M1-5.M2-8.M3-16	34	25	1	7	2	1	51	4	2.85714285714	21.875
M1-5.M2-8.M3-10	34	24	1	8	2	0	51	5	2.85714285714	25.0
M1-5.M2-8.M3-1	30	29	5	3	1	2	52	3	14.2857142857	9.375
M1-5.M2-8.M3-5	29	30	6	2	2	0	51	5	17.1428571429	6.25
M1-5.M2-8.M3-14	34	25	1	7	2	1	51	4	2.85714285714	21.875
M1-5.M2-8.M3-12	35	24	0	8	0	1	53	4	0.0	25.0
M1-5.M2-8.M3-13	33	25	2	7	2	0	51	5	5.71428571429	21.875
M1-5.M2-8.M3-6	29	29	6	3	1	0	52	5	17.1428571429	9.375
M1-5.M2-8.M3-2	30	29	5	3	1	1	52	4	14.2857142857	9.375
M1-5.M2-8.M3-3	24	28	11	4	1	1	52	4	31.4285714286	12.5
M1-5.M2-7.M3-8	36	29	0	1	1	0	51	7	0.0	3.33333333333
M1-5.M2-7.M3-9	36	30	0	0	0	1	52	6	0.0	0.0
M1-5.M2-7.M3-18	34	26	2	4	1	2	51	5	5.55555555556	13.3333333333
M1-5.M2-7.M3-15	34	25	2	5	1	3	51	4	5.55555555556	16.6666666667
M1-5.M2-7.M3-11	35	21	1	9	0	0	52	7	2.77777777778	30.0
M1-5.M2-7.M3-7	36	22	0	8	1	0	51	7	0.0	26.6666666667
M1-5.M2-7.M3-17	35	23	1	7	1	1	51	6	2.77777777778	23.3333333333
M1-5.M2-7.M3-4	27	29	9	1	0	0	52	7	25.0	3.33333333333
M1-5.M2-7.M3-16	35	25	1	5	1	1	51	6	2.77777777778	16.6666666667
M1-5.M2-7.M3-10	35	22	1	8	1	2	51	5	2.77777777778	26.6666666667
M1-5.M2-7.M3-1	30	29	6	1	1	2	51	5	16.6666666667	3.33333333333
M1-5.M2-7.M3-5	30	30	6	0	1	0	51	7	16.6666666667	0.0
M1-5.M2-7.M3-14	35	25	1	5	1	1	51	6	2.77777777778	16.6666666667
M1-5.M2-7.M3-12	35	24	1	6	0	1	52	6	2.77777777778	20.0
M1-5.M2-7.M3-13	34	24	2	6	1	1	51	6	5.55555555556	20.0
M1-5.M2-7.M3-6	29	29	7	1	1	0	51	7	19.4444444444	3.33333333333
M1-5.M2-7.M3-2	31	28	5	2	0	2	52	5	13.8888888889	6.66666666667
M1-5.M2-7.M3-3	24	28	12	2	1	1	51	6	33.3333333333	6.66666666667
M1-5.M2-1.M3-8	24	29	0	3	13	0	51	5	0.0	9.375
M1-5.M2-1.M3-9	24	31	0	1	12	0	52	5	0.0	3.125
M1-5.M2-1.M3-18	22	26	2	6	13	2	51	3	8.33333333333	18.75
M1-5.M2-1.M3-15	22	26	2	6	13	2	51	3	8.33333333333	18.75
M1-5.M2-1.M3-11	24	21	0	11	11	0	53	5	0.0	34.375
M1-5.M2-1.M3-7	24	22	0	10	13	0	51	5	0.0	31.25
M1-5.M2-1.M3-17	23	24	1	8	13	0	51	5	4.16666666667	25.0
M1-5.M2-1.M3-4	22	29	2	3	5	0	59	5	8.33333333333	9.375
M1-5.M2-1.M3-16	23	25	1	7	13	1	51	4	4.16666666667	21.875
M1-5.M2-1.M3-10	24	23	0	9	12	1	52	4	0.0	28.125
M1-5.M2-1.M3-1	23	30	1	2	8	1	56	4	4.16666666667	6.25
M1-5.M2-1.M3-5	21	30	3	2	10	0	54	5	12.5	6.25
M1-5.M2-1.M3-14	23	25	1	7	13	1	51	4	4.16666666667	21.875
M1-5.M2-1.M3-12	24	24	0	8	11	1	53	4	0.0	25.0
M1-5.M2-1.M3-13	23	25	1	7	12	0	52	5	4.16666666667	21.875
M1-5.M2-1.M3-6	21	29	3	3	9	0	55	5	12.5	9.375
M1-5.M2-1.M3-2	22	28	2	4	9	2	55	3	8.33333333333	12.5
M1-5.M2-1.M3-3	17	29	7	3	8	0	56	5	29.1666666667	9.375
M1-5.M2-11.M3-8	36	27	0	0	1	2	51	8	0.0	0.0
M1-5.M2-11.M3-9	35	27	1	0	1	4	51	6	2.77777777778	0.0
M1-5.M2-11.M3-18	35	26	1	1	0	2	52	8	2.77777777778	3.7037037037
M1-5.M2-11.M3-15	35	25	1	2	0	3	52	7	2.77777777778	7.40740740741
M1-5.M2-11.M3-11	34	21	2	6	1	0	51	10	5.55555555556	22.2222222222
M1-5.M2-11.M3-7	36	22	0	5	1	0	51	10	0.0	18.5185185185
M1-5.M2-11.M3-17	36	23	0	4	0	1	52	9	0.0	14.8148148148
M1-5.M2-11.M3-4	26	26	10	1	1	3	51	7	27.7777777778	3.7037037037
M1-5.M2-11.M3-16	35	25	1	2	1	1	51	9	2.77777777778	7.40740740741
M1-5.M2-11.M3-10	35	22	1	5	1	2	51	8	2.77777777778	18.5185185185
M1-5.M2-11.M3-1	30	26	6	1	1	5	51	5	16.6666666667	3.7037037037
M1-5.M2-11.M3-5	30	27	6	0	1	3	51	7	16.6666666667	0.0
M1-5.M2-11.M3-14	36	25	0	2	0	1	52	9	0.0	7.40740740741
M1-5.M2-11.M3-12	34	24	2	3	1	1	51	9	5.55555555556	11.1111111111
M1-5.M2-11.M3-13	35	24	1	3	0	1	52	9	2.77777777778	11.1111111111
M1-5.M2-11.M3-6	29	26	7	1	1	3	51	7	19.4444444444	3.7037037037
M1-5.M2-11.M3-2	30	25	6	2	1	5	51	5	16.6666666667	7.40740740741
M1-5.M2-11.M3-3	24	25	12	2	1	4	51	6	33.3333333333	7.40740740741
M1-5.M2-12.M3-8	35	26	0	0	2	3	51	8	0.0	0.0
M1-5.M2-12.M3-9	34	26	1	0	2	5	51	6	2.85714285714	0.0
M1-5.M2-12.M3-18	34	25	1	1	1	3	52	8	2.85714285714	3.84615384615
M1-5.M2-12.M3-15	34	25	1	1	1	3	52	8	2.85714285714	3.84615384615
M1-5.M2-12.M3-11	33	21	2	5	2	0	51	11	5.71428571429	19.2307692308
M1-5.M2-12.M3-7	35	22	0	4	2	0	51	11	0.0	15.3846153846
M1-5.M2-12.M3-17	35	23	0	3	1	1	52	10	0.0	11.5384615385
M1-5.M2-12.M3-4	25	26	10	0	2	3	51	8	28.5714285714	0.0
M1-5.M2-12.M3-16	34	24	1	2	2	2	51	9	2.85714285714	7.69230769231
M1-5.M2-12.M3-10	34	22	1	4	2	2	51	9	2.85714285714	15.3846153846
