SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-2.M2-8.M3-10	38	26	1	0	0	6	100	6	2.5641025641	0.0
M1-2.M2-8.M3-5	37	24	2	2	0	5	100	7	5.12820512821	7.69230769231
M1-2.M2-9.M3-17	37	30	0	1	0	1	102	6	0.0	3.22580645161
M1-2.M2-9.M3-15	36	31	1	0	1	2	101	5	2.7027027027	0.0
M1-2.M2-9.M3-11	37	24	0	7	1	1	101	6	0.0	22.5806451613
M1-2.M2-9.M3-12	37	31	0	0	1	2	101	5	0.0	0.0
M1-2.M2-9.M3-13	36	31	1	0	1	2	101	5	2.7027027027	0.0
M1-2.M2-9.M3-4	36	22	1	9	2	0	100	7	2.7027027027	29.0322580645
M1-2.M2-9.M3-8	37	27	0	4	2	0	100	7	0.0	12.9032258065
M1-2.M2-9.M3-9	37	30	0	1	2	1	100	6	0.0	3.22580645161
M1-2.M2-9.M3-1	37	24	0	7	2	1	100	6	0.0	22.5806451613
M1-2.M2-9.M3-6	36	21	1	10	2	0	100	7	2.7027027027	32.2580645161
M1-2.M2-9.M3-14	37	31	0	0	0	0	102	7	0.0	0.0
M1-2.M2-9.M3-16	36	30	1	1	0	1	102	6	2.7027027027	3.22580645161
M1-2.M2-9.M3-2	37	29	0	2	1	1	101	6	0.0	6.45161290323
M1-2.M2-9.M3-18	36	31	1	0	0	2	102	5	2.7027027027	0.0
M1-2.M2-9.M3-3	37	28	0	3	2	0	100	7	0.0	9.67741935484
M1-2.M2-9.M3-7	37	24	0	7	1	0	101	7	0.0	22.5806451613
M1-2.M2-9.M3-10	37	31	0	0	1	1	101	6	0.0	0.0
M1-2.M2-9.M3-5	36	29	1	2	1	0	101	7	2.7027027027	6.45161290323
M1-2.M2-12.M3-17	37	30	0	1	0	1	102	6	0.0	3.22580645161
M1-2.M2-12.M3-15	36	31	1	0	1	2	101	5	2.7027027027	0.0
M1-2.M2-12.M3-11	37	24	0	7	1	1	101	6	0.0	22.5806451613
M1-2.M2-12.M3-12	37	31	0	0	1	2	101	5	0.0	0.0
M1-2.M2-12.M3-13	36	31	1	0	1	2	101	5	2.7027027027	0.0
M1-2.M2-12.M3-4	36	22	1	9	2	0	100	7	2.7027027027	29.0322580645
M1-2.M2-12.M3-8	37	27	0	4	2	0	100	7	0.0	12.9032258065
M1-2.M2-12.M3-9	37	30	0	1	2	1	100	6	0.0	3.22580645161
